# Published eigenvalues of the BRS combustor network model.
# Source: T. Emmert, "Intrinsic Thermoacoustic Feedback of Premixed Flames" (Dr.-Ing.
# dissertation, TU Muenchen), Figure 4.8, the one-to-one counterpart of Figure 7
# of Emmert, Bomberg, Jaensch & Polifke, Proc. Combust. Inst. 36 (2017) 3835-3842.
# The dissertation figure is vector graphics; coordinates are read from the drawing
# commands with the axis gridlines as calibration (residual < 0.01 Hz), so unlike a
# raster digitization the values carry no pixel quantization.
# Growth rate follows the reference's convention sigma/(2*pi) with s = sigma + j*omega.
# 'sweep' points sample the eigenvalue tracks as the outlet reflection is
# lowered from the fully reflective open end (R = -1) to non-reflective (R = 0).
kind,growth_hz,frequency_hz
sweep,-44.07,238.52
sweep,-44.07,238.53
sweep,-44.07,238.53
sweep,-44.08,238.53
sweep,-44.08,238.53
sweep,-44.07,238.53
sweep,-44.08,238.53
sweep,-44.08,238.53
sweep,-44.08,238.53
sweep,-44.08,238.53
sweep,-48.89,272.14
sweep,-48.89,272.14
sweep,-48.89,272.14
sweep,-48.89,272.14
sweep,-48.89,272.14
sweep,-48.88,272.15
sweep,-48.88,272.15
sweep,-48.88,272.15
sweep,-48.88,272.15
sweep,-48.87,272.15
sweep,-48.87,272.15
sweep,-48.86,272.15
sweep,-48.85,272.16
sweep,-48.84,272.16
sweep,-48.83,272.17
sweep,-48.81,272.18
sweep,-48.78,272.18
sweep,-48.74,272.19
sweep,-48.70,272.21
sweep,-48.64,272.24
sweep,-48.56,272.26
sweep,-48.46,272.30
sweep,-48.32,272.35
sweep,-48.14,272.41
sweep,-47.91,272.49
sweep,-47.59,272.60
sweep,-47.19,272.74
sweep,-46.65,272.93
sweep,-45.94,273.17
sweep,-45.01,273.48
sweep,-43.77,273.91
sweep,-42.13,274.50
sweep,-41.88,274.59
sweep,-41.61,274.69
sweep,-40.94,274.95
sweep,-39.98,275.33
sweep,-39.93,275.34
sweep,-39.02,275.72
sweep,-38.05,276.14
sweep,-37.07,276.60
sweep,-36.98,276.64
sweep,-36.08,277.09
sweep,-35.55,277.36
sweep,-35.09,277.61
sweep,-34.10,278.18
sweep,-33.10,278.78
sweep,-33.00,278.84
sweep,-32.10,279.44
sweep,-31.10,280.14
sweep,-30.62,280.50
sweep,-30.11,280.89
sweep,-29.12,281.70
sweep,-28.14,282.57
sweep,-27.79,282.90
sweep,-27.18,283.50
sweep,-26.78,283.89
sweep,-26.22,284.49
sweep,-25.29,285.54
sweep,-24.36,286.67
sweep,-23.89,287.29
sweep,-23.46,287.88
sweep,-21.72,290.55
sweep,-20.10,293.60
sweep,-18.89,296.43
sweep,-17.97,299.08
sweep,-17.27,301.56
sweep,-16.72,303.93
sweep,-16.25,306.25
sweep,-15.76,308.63
sweep,-14.88,311.20
sweep,-13.06,313.24
sweep,-11.35,314.14
sweep,-26.47,314.28
sweep,-26.47,314.28
sweep,-26.47,314.28
sweep,-26.47,314.28
sweep,-26.47,314.28
sweep,-26.46,314.28
sweep,-26.46,314.28
sweep,-26.46,314.28
sweep,-26.46,314.28
sweep,-26.46,314.28
sweep,-26.45,314.28
sweep,-26.45,314.29
sweep,-26.44,314.29
sweep,-26.43,314.29
sweep,-26.42,314.30
sweep,-26.41,314.30
sweep,-26.40,314.31
sweep,-26.38,314.31
sweep,-26.35,314.32
sweep,-26.32,314.33
sweep,-26.28,314.34
sweep,-26.23,314.36
sweep,-26.16,314.38
sweep,-26.07,314.40
sweep,-25.97,314.44
sweep,-25.83,314.49
sweep,-25.65,314.54
sweep,-10.12,314.58
sweep,-25.41,314.63
